sentence_id	sentence	sentence_domain	source
0245a1e21c2153c059d33d91476208f532279a43c6f2a5eb696535edbca032ec	Nafarroako hezkuntza departamentuak Musikariak eskoletan programa A eta D ereduetako martxan jarri zuen.		Norberaren aipua
0256c405ed9f6c7e011850382ac03ae5c5ab976cb535fef4d5fbf528cc4d8c3c	Hiru garagarnoren ondotik arrunt arraildua da, gaizoa.		Norberaren aipua 
02d06c38b4fd1d101af3a318d89f3d19119072580a4b1e9c0f6f0c497814b68f	"Ikas ezazi biologia, eta kito.
"		Norberaren aipua
032aaa48c364e185778eb1d67850fa57173ec7390104ec68fc61719bed57f546	Arrautzaren azalaren kolorea zuria edo ilunagoa izan daiteke, oiloa zein arrazatakoa den 		https://www.euskaltzaindia.eus/index.php?option=com_hiztegianbilatu&task=bilaketa&Itemid=1693&lang=eu&nondik=0&zenbat=100&non=osagaiakHasi&query=arraza&subcMota=&pos=&usgDomain=&usgGeo=&usgBeste=&usgReg=
035e4d08ad140143631dffcdfa06bb1d3a076fbcaf23700b903e0226b3e2e6e4	Lurralde Kolektibitatearen alde edo kontra zarea?		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
03659507fea410e0abc7ca9ce8714c164117205c6644eab79c27bc6bee31eb1f	Haizeak koloreak ikus ditzakezu, ongi begiratuz gero.		Norberaren aipua
03bb4cb501311c54f9f2bef4e254c8f88af91290ca730954f55c43607319e8f3	"No te entiendo

"		No entiendo euskera 
0417f5b309fe77b2971e25a2f50c9850ec12496f54a52fcaf667818c4398a8a4	Arroza lehen baino merkexeago dago.	general	Norberaren aipua
044e04b6a50c338108f4b259bf472e01ff6b9acfcc48bb92cea78e8b2dc51b51	Festak aurrea ederrago du atzealdea.		They are known Basque proverbs. Thereby they are in the public domain. Collected from here: https://eu.wikiquote.org/wiki/Euskal_atsotitzak
046b951ca27e90f29592401a33c85739f5c5720f46712b51706ecb5b7a57a781	"Akats handienak gramatika akatsak dira.
"	general	Norberaren aipua
046d938d32e58f952bca707aa9b7e09af17b3bc27fff36bc2f463ed497a8ae6e	Hutsetik gaia asmatzea saila da.		Norberaren aipua
04814c10ef38ef36f59e47058bf92f6d0b256d9f8cab2ed2076b93c248511f58	Deabrua akelarrearekin lotzen duen ideia teologiarekin, mitologiarekin, psikiatriarekin, artearekin eta literaturarekin lotzen .		norberaren aipua
048ad1b07c098640408042ff9169089339540d98d0a8081cf67cc02872ecc6dd	"Ez dut liburutegi digitala ezagutzen.
"	general	Norberaren aipua
057d999676900a7fafbf2775439760317a6c7bc9d1e5a051a7e42c62b6dee069	"Ez iezaguzue laguntzarik eskaini
"	general	Norberaren aipua
05abe7bca4b4a68e5c1024978d42b9b901218db1b16595bb48fbf96d249a2ea7	YouTuben agertzen diren hizlari askok urduri Jartzen naute.		Norberaren aipua
05c5a3b32fd72ebd2eac2a10acb20fe392466f7ec444915163382e71a2b32fc3	Biar Gazteko azterketa daukagu.		Nerea
05dac905e976e2b530e74edab1d8de4fb17da4872242c162a4ee6ad789960009	Ukrainan horretan ukrainera eta errusiera izan dira hizkuntza ofizialak.		norberaren aipua
0605bc931a46c7d22c313b793e69a8223a50a04bc3d7598ffdba8ee56304fc9a	"Azken asteotan lo gehiago egin du.
"	general	Norberaren aipua
0626138537686c2b8c43395c04070c60b5cbc72601699d2111721e4f16e58b56	"Behinik behin, arazoak ekiditu nahi genituen.
"	general	Norberaren aipua
07eeda44dddf5fcf467d1c0d48ae6b27f77a96077141a801abe67aa1f7520d1f	Odhiambo George, matunda marbungu bat eskuan duela.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
07f41561fbd15f2765296e03d8f8b486504c391d8407ec2766208050da740f00	Isis jainkosak zeruan eta lurrean aegintzen omen zuen eta baina etorkizuna erabaki omen zezakeen.		norberaren aipua
08a1db0510a28dd7f40ec8f662dfe8af99c97e08627abc74abf7b4ac0dae9225	"Nahiz ta etorri Mola
ta mila rekete
ezta iñor sartuko
bizirik garen arte."		https://eu.wikipedia.org/wiki/Eusko_gudariak_(abestia)#Hitzak
08b1f4e7eae3912c20f84b6c3c89e20b837e9bc007a164462ee60428debf362e	"Oparitzat ordenagailu bat eman genion.
"	general	Norberaren aipua
08b64a0cc8d9793deb97cd8fac6db8d9608e5265cfb77aaf70c67da9efdaf381	Lasai daude, ziurtasun handia dure eta.		Norberaren aipua
08be1a2502bedf9e3f58e671731e017fd1d7af0dd4c32950356b552bcb4c28d9	Nik berandu ezin nuen etorri eta nire nebak ez zuten arazo bat ere izan.		Norberaren aipua
08e299896e2e212d50458fb9f6121312a48d60205fc8bfcbc48b08b3dc872b15	Mespretxua, begirune eza, ukituak, festetako.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
097aff9b80e68408f0c0564fa69dd4f233bc33018b30c57fe4cd64bbb7059a30	"Eransten dizuegun dokumentua bete beharko duzue.
"	general	Norberaren aipua
0a3b31643f6ec2e8bcaad77b4a73a895b6280c2a07629395c7eb5b6aaa06cc85	Eroskiko eskaintza berriak jarri ditugu animatu eta etorri gurekin.		Carrefurreko ofertak
0a600f4d046136d486951718f72d3d4ca31fa9ec5d5fb6a46013cc212255d4df	Eta zertarako demontre behar dugu Guggenheim museo bat Uraibain?		Xx
0aa93e69ce26e3a5dd6527c898b540485157b8136e78e5e936ac521c022359f3	"Animalia hori ehunzangoa da.
"	general	Norberaren aipua
0afadd989166d7027e45b4d6b058829eb546edada9e16c341149da11bab87efd	Mostoles geihegi gorroto dut.		Aita
0b4377b823d35396261ace6e2cbc73750ca7f3dcf3a3b0651a096300904addd3	Inoiz ez da oso handia baitira gimnasioak 		K
0b719a4fcaf1fa2c2495eb06285c0bfeeb244f11d2b16274fdc1c2260e9b821c	Maider oso marrazkilari ona da Nora baina hobea		nirea 
0ba2fa28bdddb8dad26eb11d63b66b0262f6f2217d79f03fa0692796e840bf0a	Tomaki txakurre, tomaki!!		Xx
0bdd34399c9ad10e336ea43345330292e569713bb5bdf4d6845f760bab76c62a	Geure ama Deustuarra zan, Bilbaok Deustuko lurrak jabetu baño ariñago jaio zalako. 		Neurea
0c4b676a73ab3154871d636663c7243874c6c318e1a49eae157c5cc2847ae0a0	Ardiaren atzeko ankak botetan sartu, ta hori ez da mugitzen		Ehiztarien batzorde nagusia
0ca535c5c9857819bfcbfd76c6bf884e1b7b2fc9e780bd4a5a6f9ac6b10ac22a	Zaila da aurkitzea benetako ogi naturala saltzen duten ogidendak		Norberaren aipua
0d0d140c418f62f9f18f9f67ecb45d5d7e9bd2f92f3f94cea1ff285bc5afa632	Laztantzen nauzun bakoitzean kuleroak buztintzen ditut.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
0d193f3facba72b9621bea587b551abdf27e2c72cd75b7605b0badde6d3b9e5c	"Ez dut uste Facebooken dagoenik.
"	general	Norberaren aipua
0d19c4a1381b1a7e61d02b2ccaac2f026379959ad60c559061650e48161dad1f	Komedia britainiarren aski ezagunak ziren hiru protagonistak baina atzerrian ez, ordea.		norberaren aipua
0d521187b33559af8af2ac935a2162a1ca1da1c6ec76c78a6c46a418b98bfaa0	"Ez zuten sentsorerik erabili.
"	general	Norberaren aipua
0dce2a3eeffc1de0a4970c7162196ca718472ca1efee2a8f1fb889c4576f5156	Neska gazteak asko galdetzen digute egiten gaudenari buruz.		Norberaren aipua
0dd9741d0dc218387d53fb1336ed7f29319d4ea97add299ec947215adce44f3d	"Mahaia hautsita dago.
"	general	Norberaren aipua
0df84ecdff8e853ca2da25864300d56b1e3697c584a2686ed8bae6f13336e33a	"Ezagutzen al duzue Marie Kondo?
"	general	n
0e495aaf4d302ead9bc313436d7b395a31357bca81466b624a9b6cbf2bca963e	Komunikatzeko gaitasuna neurtzeko proba komentatu nahi ditut.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
0e4ac8358c7286891dd18dcaaf52ec525819d2cec21a2f82e86ec150bff1f8f8	Gurasoen aukeratzeko eskubideari lehentasuna osoa eman behar zaio.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
0e55e1a3d55f6fabfd9c138e6465faaf0d44d8fb1a41a1b1db2f5b48ea47025b	"Kimika ikasgaia, ahalber, ez du gainditu.
"		Norberaren aipua
0eaa01aadf6ede177c940fcb73b40271b4e41806d9d06b6584a3d271343f1ba6	Lehenengoa da oraingoz hirietako gertakaria direla.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
0ec5f4b6bed373ea2dfb9f7fe390fbdeadf30341ee02cc6d2efcdaf6f758c94e	Azkar tekleatzen ikastea merezi ote?		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
0ed6ff80c28f942e0c709049719698b9232784a90a99e21d995d2b5a81589db6	Brais Méndez eta Remirok Mallorca menderatu dute.		Diario Vasco
0ef45a2ce329599b46f1fd989bd5811a8b9826f11722c9a9f35b1bc2502772ed	Gaur egun ez dugu ia telebista ikusten, ikusentzutekoak norberan neurrira daude mugikorretan.		Neurea
0f227c75ec707b37d03b8e9b6e23332f6fb35c0f5869d4769032b7d92ee06647	Hortaz, bi balio hartuko dituzte.	general	Norberaren aipua
0f298225ab93a9e23c805f5d52818b3b7519c6a3fb0816e04701b89374830173	"Pertsonak berez onak dira.
"	general	Norberaren aipua
0f85ae5926f32ae778ba3b9627566bd946c0acf20300c50d4f7d2d8394750649	On-line Prestakuntza emate duen Planaren modalitate birtuala egiten dute.		Norberaren aipua
0fbd2908a373eb6e600cf5739f32cf6c67d5c9c15e04dcd4623eed9505c4ec44	Etxean jauregi batean baino hobe nago.		Norberaren aipua
0fdda4c45778dfaf196050d6651d822f8ee3030541180c023263cacf577d64ed	Pestizidetaz kokoteraino nago.		Norberaren aipua
0fe8fe0a2e2528cceabb60df98545ff347db507ede8ee21539992ac2152d39b8	"Anfora hautsi da.
"	general	Norberaren aipua
1052bdda7b4def26ec05640441a92b056df2d2ef9747793103b53b8f383a175f	Etxe ondoa astakeria galanta gertatu arren, zuek zeuenera!		Nirea
10b01ffaa9bfd242adabbe759b19bef3cff889dc29639853a06f93cb7a64c54a	Instrumentu bitxiaen bilduma egiten zuen, tokirik gabe geratu zen arte.		Norberaren aipua
10b50251cfa28c80795a20fe02370eb2f6c6408cdf5adc605e7b04c75d19f67e	Ederra alfergura txineraz ikastea.		Norberaren aipua
110288cfa70579f86ecccf8ddeed7989fea02565f04a7696f7afabc1cd2a5329	Ikasitakoa desisten ikasi		Berri  txarrak
1102f43e04aaee94f88baafd18e83f7490a232de3b68d44634ed516eef78124e	Kontserba bat irekitzen den bakoitzean, bi eguneko epean kontsumitu behar da, eta hozkailuan gore.		Consumer aldizkaria
110ad645683fa8f2fce644ef84f2236bd94243b83f04e5b1f3edf54e1ceee1b1	Euskal Herriak, independentziak edota sozialismoak kontzeptuek, adibidez.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
11705176541892657d3ea275f15f5333b8aecbb74444b62b2262f0e487d009ed	"Langileen heren bat kale gorrian geratuko da.
"	general	Norberaren aipua
117a75196e5621e93f19cfca5baacc51021426466cda85db0717af7ac86ec1be	"Txori horiek han-hemenka urtean zehar ikus ditzakegu.
"	general	Norberaren aipua
11d9533a51e6b69ca7e0272b1d0cf170916e13655ff335f39853fffb03a7be3e	Kaleak hartu ditizten protesta gisa.		Norberaren aipua
12388b46796546193927f6ffb7cf189438dd61e32f232b45c86308017275a6de	"Han-hemenka fruitu bakar batzuk ikusi dituzte.
"	general	Norberaren aipua
12740c414ab6b2ccbd93e4088d3d63e4e7a1056029ef5de81a3215392ec8c54e	"Behatzak bihurritu
Es norbaitek ahaztuta duen akorde minorren bat"		Berri txarrak musika taldea
127c100a29741d8842d267b1a275e48769a96cdcf04163b2267cc7835a5ee783	Jakintza eta erabileraren arteko arrakala handia da.	general	Norberaren aipua
12c98207819bef1380cd5e3593d09130797d4a298a48679050ebc8b859e156a4	Hemen gehitutako esaldixa publikoki eskuragarriak izango dira		Gaitu.eus
12e2b800047391a669bc31a86179bfea69881f2390cacc743da1dd88d055ac09	Museoan, besteak beste, zementuaren fabrikazio prozesuari, erabiltzen diren harri motei eta porlanaren formularen aurkikuntzak.		berria
1317d01f971249171b2a5141693fc551784a3f8ab48118bdefe6c6e428c8c266	"Beste artikulu batean luzekiago azaldua dudanez, hori gezurra da.
"	general	Norberaren aipua
13293eb3d2261f77675da0e343593d85f44d04c3d4251a7b53b9240eec64d0dd	Beren-beregi prestatutako ekintza izan zen.		Nirea
132b7f25745de4dcb7e6168513cd7e1687d4f37d1b32e0cff4761a68a91235a9	Kaka ipurdian lehorra dut.		libru bat.
13dfe86743fe3a8311ef7f4148ebd9bfba74d23523b0f209bfea2a336335a971	"Orain arte ez dira beraz gogoratu.
"	general	Norberaren aipua
13e06caf942a8b79c1416b81a9d3c3691b7a39bbcb4952b3175b8ff223b4a43b	"Lan giroa jasanezina zen.
"	general	Norberaren aipua
14572ad1322b12508a3424838ee47aee09254a2f282ba96b418251a7cac176cd	Operazioari esker arazoa eragin zuen asaldura itzali.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
14e6aa6c430a5db2e33e52b9eaa82f0b79960b3162912637943aaeee2c8d5fae	Hori igarri egiten da baina zertan?	general	Norberaren aipua
158d143577d15ae5f2efa99e726604159ac55264a2d38528230ce6f48943952e	"Kalerik kale kalejira dantzatzen zuten. 
"	general	Norberaren aipua
159f7d08cfb08abac547c95a7f25a71dde7747406de0169c9aa02f879b94e990	Eskastu hil ere bai baita.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
15f54794e53d94322b86bb2fdd7dfa2ea25d92ef55517396c61891ae8757a543	Harri beltzez egindako lepokoak saltzen dituzten.		Norberaren aipua
160b6c9fe832a1cc88797c9b717af6557c1ddf7bb224ead8b3a7ba91540e3f99	Ikasturterako titulu berekien eskaintzaren aldaketa onetsi da.	general	Norberaren aipua
16634e3194fcdb708e880509df86e2204f51e8a281392bb46ce7a470884d423e	El vuelco del tren en Pasaia provoca hoy más retrasos en Cercanías		diario basco
1672637ff1d3a2dee5fd12f5935dfe8557bbf3c735a713f230121e2ef8e0071a	"Unax niri laguntzen ari zait.
"	general	Norberaren aipua
16a1716e6a039e0c0ce6f7b8d17dc2e5ca135058c91ee26c8a5cd268350db985	"Apurka-apurka hizkuntza menderatu zuen.
"	general	Norberaren aipua
171bf1f57fe8d1781c7c6018aa4e3e253a3f52a61c3db266ff61f60331108c13	"Musikarik gabe ez dugu dantzatzerik.
"	general	Norberaren aipua
1769b1cd06c271893259f3452a51372299ff866a76647b8da8cee4c3815deffb	Bakoitzak ematen dizkit klabe diferenteak, eta maila diferentetako klabeak.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
17b8d1b43c655ef75913ae1e18d6daa254096a764d13ac7c3f7a9e989059c245	Mila bederatziehun eta laurogeita hamaikagarren urtean Sobietar Batasuna iraun zuen.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
190adc2ab751a9c5ddb8e248391cbd3195d75cbdb61063079a776ba08a1bf0da	Haren anaiak salto egin zuen leoiaren ahora	general	Nirea
190cff43c8139ab66f498002fd033dccc02347ed0266719d30c74a2e238b2ff2	"Ez dut uste arte plastikoa denik.
"	general	Norberaren aipua
191ba6d528f8ad99338f7aedbb5348afc96ae7d7439a0f89b0fc84317b38b3c9	Kuia Ameriketan ezagutzen zuten soilik, horregatik irlandako ospakizunetan ez zen agertzen.		norberaren aipua
193829cb8ed9acb4b48b305d2beced7b4d1c724a648751606270b8cb47442a23	En vo aria famatua ederra iritsi zitzaigun.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
19ae21f7bd975da293e6443f8e9ed086cdb045262508c3bc826d17ceebd41c1f	Nire jokalarik gustokoena Nico Williams da.		Nerea
1a49518e71dfb76ae2c400939231eb271760703b77276106fd40695cf3fa08d9	"Ba horixe, publikoa ez zela.
"	general	Norberaren aipua
1a59a864703ee1df2af0375d36b91adebf93bc081fa3a5c3944a33095ced95fb	Entzumena ez du kaltetuta, baina soilik berri onak entzuten ditu.		Norberaren aipua
1a7d10f9ff8dcd87498be90b8b6cf859c2ef0535f12a7817428cc5b827114229	Kanela eta azukrea toki beroetan etortzen dira.		https://www.euskaltzaindia.eus/index.php?option=com_hiztegianbilatu&task=bilaketa&Itemid=1693&lang=eu&nondik=0&zenbat=100&non=sarreraBuruaStrict&query=etorri+&subcMota=&pos=&usgDomain=&usgGeo=&usgBeste=&usgReg=
1ac587f86bae043b08599018442762f9e68ef3f26f3ed761b87191b84222c2d2	Amonak denbora asko egiten zuen intxaurrak txikitzen intxaur-saltsa egiteko gabonetarako.		Norberaren aipua
1adcebfbc5ed87fd7147fad7e8e74b4dfe0fe2413304a4019368732e903920f0	Seinale motak zeintzuk diren eta soinu-kalitatearen zenbait ezaugarri ulertu behar dira	general	https://eu.wikipedia.org/wiki/Ahozko_kodegailu-deskodegailu
1b19787b7698c0d3036631bcaea18b2910f1d1f8bba8442932b8363515bd6ebe	Mikel maitxia zaindu zuk umia		Greba feminista
1b65d820b8f80b9a535c192fe48041e48ecfac8fd2623cf356a582172e93fb3c	Salatzen dutenek, lekukoak edo ikerketan laguntzen dutenek ondorio negatiborik ez izatea		Lantegi Batuak
1bdabfcd6844816602deb4328a11138252de24192b91add7fe527742090587fd	Historikoki testuinguru eta kultura askotan fenomenon hori gertatzen da.		norberaren aipua
1c0c3b75176d7cd3b00b2587ed25b8ba349e231b138dc12e51932c6998792a5c	Hezkuntza-proiektua aurkeztu zuten.	general	Norberaren aipua
1c5df5d62ac50b08d8da29b5776c0037a0c75784700abca4df95453cbd2b7246	"Aurrerapauso ikaragarria eman du euskal literaturak.
"	general	Norberaren aipua
1c619c49e4d3151b556c9267487483a8208fa9a27519aa2d0a5545b66a9f417a	"Har dezakeen bide zailena aukeratu du.
"	general	Norberaren aipua
1c9812cbb8b0696b89c45e32517cf05c01f06c4ec53ca1e8b0a2446480ac416b	"Oparitzat hiru liburu eman nizkion.
"	general	Norberaren aipua
1ca3657a31d68b7d2e3da302e003f0f0a1922a4163a934c7162b10fe8a06fa04	Nire ondoan eserita dagoen arratoilak fisikako liburutik ateratzen ditu esaldiak; orijinala arratoi batentzako.		Nik sortu dut.
1cc67f89902d7c7e430296c5fe01fda40cec53d9d27fef77415a759e6e3161aa	Bada oso ondo zetorkidan estereo egiteko, kontrasteagatik barreak.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
1cf003904836fb46f70e2edc147209a35ac8a67fac891bf1a1a1996558340819	"Oroigarritzat garagardoa ekarri zuen.
"	general	Norberaren aipua
1d17cf9c922bcedadbde4a5e8fb7cc124bef07506a851a6e209c03ba56cdb5c9	Dakizuenez, hitz eztiak eskaini zizkion.	general	Norberaren aipua
1db05995f0f33ae627b55ec8c6aa694574532657d1ba5eea5712238d6bc8a3d9	Zenbat filologi ezagutuko zituen?		Norberaren aipua
1dcab7471a927c1be43dc24a7dfb702cf7eeef872450d560960a0cfd64c85207	Ez baititu irakurri nahi izan batzar horrezaz argitara diren paperak. 		https://www.euskaltzaindia.eus/index.php?option=com_hiztegianbilatu&task=bilaketa&Itemid=1693&lang=eu&nondik=0&zenbat=100&entryId=37919&query=paper
1dfe0e4d1d8bab48dae0eae0240cdcf6eed228c4eb5bf6eb8855e920ed368ba5	"Ba horixe, beste ezer behar ez dudala.
"	general	Norberaren aipua
1e73bc0e32659a8910a69e3e5368c1b7e798608cc207f341a9977bd8ba68859d	Zuzendariorde postua eskaini zioten.	general	Norberaren aipua
1e9f3a2d93b53e6f9bf91867652587eb0b82f6bdba38ee7b3c73451d3dc6b9de	Hartu harraultzak, utzi oiloa eta alde hemendik		Anonimoa
1eb9ea41dcfbee2fd3ba3ded5a4445482a6ef064c47156a963863b2906574344	Alde batera begiratzen dut, mileurista, beste aldera begiratzen dut, sabela, eta fuck bezalakoa da.		Miamo me lo confirmo
1f0515982783facfa07c7342a96633899b67b684ec1019decf8f0689a58fd265	Ahal izanez gero, gioz iritsiko gara.		Norberaren aipua
1f22ef56186a96686bc2c67d387b06d1207a8a5d4a5c99d78ee2868ab508f070	Bi bloke zegoen ekialdekoa eta mendebaldekoa.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
1f346c1e281cd90114b817335cddbe44b82419b3609925023cdea716e42303b4	Madrilera bizitzera joan da.	general	Norberaren aipua
1f8887b32d1ffa51835067ae2f5b2f54c507f0533fae4f4371f651544964c623	asu horretan, ikasleak defentsa-eskaeraren inprimakia betez aurkeztu ahal izango du epaimahaiaren aurrean.		Norberaren aipua
20e9bc644a827761e139ee14dacda3c133e354df950f07a5caaf85fa88a633a3	"Mahai gainean bio janaria jarri zuten.
"	general	Norberaren aipua
214bb2d64393b87dd5363f5497198dc4d9844c39924793ed11e6dcb0bf901216	Google forms dokumentua betetzeko bost minutu dituzue.		norberaren aipua
2173c79280dce67ee48ca485660f2faa719f4398701bf8713057548d58acb68c	"Asmakizun ulerterraza zen.
"	general	Norberaren aipua
21886cfe9eb2a95c44827c4c3818ac947aaf140db2c588b0f44fec284fa60a1b	"Hori dela eta, ordezkariak gonbidatu zituzten.
"	general	Norberaren aipua
21b718670c7a7310b9960dc6b7c9f5d7615e1ae3e4368099c8eff26f976f51d9	Nahi duzu hau bezalako mezu bat joaten ez den bakoitzean.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
21d8ec23acb65fc4af09ef3a20ab2a5dd5c1b0faf3d90f26a03f3ce59bf6835c	Beraz galdetu zuen.	general	Norberaren aipua
21f8126869aa11e7993c9e44107558e0b3db015349c33e4db5e22c165f3ddace	Handik gutxira sartu zinen ikasleak.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
227d7ec3eea958e5c5d5abcb9b88641b4a71f8bf671d2b55ea8165c60d6988a9	"Ez nekien follower asko zuenik.
"	general	Norberaren aipua
22a91db29446a0b8941f2d87b7ee87fe7b1d2b76191e2bf25ad2b13b9cfa750d	Joan zaitezte aiton-amonengana, ikus zaitzaten.	general	Norberaren aipua
23191665403bfc105a643ab5c657dc5079f052ef31dc339c55bb427854a48206	"Luzeki besarkatu ginen.
"	general	Norberaren aipua
234540e1a3f68c9b382e298443fd30ea1b6e09b9d6202bbf9db6f7a16bb5b168	Gau oso lasaiapasa dugu herri polit honetan.		Pertsonala 
2358d6f78470aaa05b386827d5e25b738054e8a3a0564cb1032fbeb22ab8e354	Ez da inorekin ateratzen.	general	Norberaren aipua
236d8fd21ca8033d331c47b85ed534969a8ceed1a48b66645e212d241d227230	Batzordeko kide direnei inpartzialak izango dira		Lantegi Batuak
23ed5b3400810158a52e5a9ce4140096a778d4b376b16c279ec4447a838167fb	Bilbo jaietan geundela bilbainadak entzuteko aukera izan genuen.		https://librezale.eus/wiki/Common_Voice_proiekturako_bost_mila_esaldi_behar_dugu_jabetza_publikoan#Argia_aldizkaritik_bildutakoak_.283.900_esaldi.29
244467cbdd3adb10aa6275529c7129cbd88be3ec8746bed29e1a1e50cfa45802	Besoa hautsi du.	general	Norberaren aipua
24575dfc46560b4f8dd3e65ace14217622357078523f98e26d7f4405df48077c	"Ez nekien geggaea entzuten duenik.
"	general	Norberaren aipua
2488da8354bbf950aeb012ef2f0566e6b4a0ab80ce001ab9ba76329f51e10e50	Erasorako balaitzen dituzte sare sozialak hainbatek		Norberaren aipua
252b598466c3119edfed826b3e78a586890b16ea9375f50c357c2f774b6d2855	"Hobe duzu online bidalketa egitea.
"	general	Norberaren aipua
